"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"";"Version1.0.0.";1;"";;;
2;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
3;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
4;",,,,,,,,";"buzzardLabel";9;"";;;
5;"G***";"Logo-Front-Soldered-5mm";1;"LOGO";;;
6;"G***,G***,G***";"Logo-Front-easyC-5mm";3;"LOGO";;;
7;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
8;"K7,K5,K4";"easyC-connector";3;"easyC-SMD";;;
9;"K6";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
10;"K3";"HEADER_MALE_3X2";1;"HEADER_MALE_3X2";;;
11;"K2,K1";"HEADER_MALE_2X1";2;"HEADER_MALE_2X1";;;
12;"FD1";"FIDUCIAL_1MM_PASTE";1;"Fiducial_Stencil";;;
